Organization,Workspace,Project,Status,Total Conversations,Digested Conversations,Completion Rate (%),Total Questions,Questions with Probing,Created,Last Updated
Kantar Nederland,Univé Imago Statements,Univé Menselijk & Coöperatie ,COMPLETED,100,100,100.0,0,0,30-12-2024,28-1-2025
Kantar Nederland,Univé Imago Statements,Univé Zekerheid & Dienstverlening ,COMPLETED,114,114,100.0,0,0,30-12-2024,6-2-2025
Kantar Nederland,Univé Imago Statements,France - Route 1(1)(1)(1),READY,0,0,0.0,0,0,27-12-2024,27-12-2024
Kantar Nederland,JDE NL,JDE NL Drivers & Barriers Coffee Consumption,COMPLETED,103,103,100.0,0,0,16-1-2025,10-2-2025
Kantar Nederland,Desperados Credentials,Nigeria - Route 1,COMPLETED,102,102,100.0,0,0,27-12-2024,13-2-2025
Kantar Nederland,Desperados Credentials,Nigeria - Route 2,COMPLETED,102,102,100.0,0,0,27-12-2024,13-2-2025
Kantar Nederland,Desperados Credentials,Nigeria - Route 3,COMPLETED,102,102,100.0,0,0,27-12-2024,13-2-2025
Kantar Nederland,Desperados Credentials,UK - Route 1,PUBLISHED,102,102,100.0,0,0,27-12-2024,14-2-2025
Kantar Nederland,Desperados Credentials,UK - Route 2,COMPLETED,102,102,100.0,0,0,27-12-2024,14-2-2025
Kantar Nederland,Desperados Credentials,UK - Route 3,COMPLETED,102,102,100.0,0,0,27-12-2024,14-2-2025
Kantar Nederland,Desperados Credentials,France - Route 1,COMPLETED,102,102,100.0,0,0,27-12-2024,14-2-2025
Kantar Nederland,Desperados Credentials,France - Route 2,COMPLETED,102,102,100.0,0,0,27-12-2024,14-2-2025
Kantar Nederland,Desperados Credentials,France - Route 3,COMPLETED,101,101,100.0,0,0,27-12-2024,14-2-2025
Kantar Nederland,Desperados Credentials,Belgium (FR) - Route 1,COMPLETED,101,101,100.0,0,0,27-12-2024,14-2-2025
Kantar Nederland,Desperados Credentials,Belgium (FR) - Route 2,COMPLETED,102,102,100.0,0,0,27-12-2024,14-2-2025
Kantar Nederland,Desperados Credentials,Ignore/delete,READY,0,0,0.0,0,0,27-12-2024,7-2-2025
Kantar Nederland,Desperados Credentials,Beglium (FR) - Route 3,COMPLETED,100,100,100.0,0,0,27-12-2024,14-2-2025
Kantar Nederland,Desperados Credentials,Poland - Route 1,COMPLETED,99,99,100.0,0,0,27-12-2024,14-2-2025
Kantar Nederland,Desperados Credentials,Poland - Route 2,COMPLETED,97,97,100.0,0,0,27-12-2024,14-2-2025
Kantar Nederland,Desperados Credentials,Poland - Route 3,COMPLETED,94,94,100.0,0,0,27-12-2024,14-2-2025
Kantar Nederland,Desperados Credentials,Spain - Route 1,COMPLETED,101,101,100.0,0,0,27-12-2024,14-2-2025
Kantar Nederland,Desperados Credentials,Spain - Route 2,COMPLETED,100,100,100.0,0,0,27-12-2024,14-2-2025
Kantar Nederland,Desperados Credentials,Spain - Route 3,COMPLETED,83,83,100.0,0,0,27-12-2024,14-2-2025
Kantar Nederland,Winston,Winston authentic smoking moments,READY,0,0,0.0,0,0,18-2-2025,18-2-2025
Kantar Nederland,JDE Tassimo,JDE Tassimo UK (part 1),PUBLISHED,52,52,100.0,0,0,24-2-2025,4-3-2025
Kantar Nederland,JDE Tassimo,JDE Tassimo UK (part 2),PUBLISHED,52,52,100.0,0,0,24-2-2025,4-3-2025
Kantar Nederland,JDE Tassimo,JDE Tassimo DE (part 1),PUBLISHED,52,52,100.0,0,0,24-2-2025,28-2-2025
Kantar Nederland,JDE Tassimo,JDE Tassimo DE (part 2),PUBLISHED,51,51,100.0,0,0,24-2-2025,4-3-2025
Kantar Nederland,JDE Tassimo,JDE Tassimo FR (part 1),PUBLISHED,52,52,100.0,0,0,24-2-2025,4-3-2025
Kantar Nederland,JDE Tassimo,JDE Tassimo FR (part 2),PUBLISHED,52,52,100.0,0,0,24-2-2025,4-3-2025
Kantar Nederland,VVV Cadeaukaarten ,VVV Cadeaukaarten (New),COMPLETED,102,102,100.0,0,0,24-2-2025,5-3-2025
Kantar Nederland,VVV Cadeaukaarten ,VVV Cadeaukaarten ,COMPLETED,102,102,100.0,0,0,24-2-2025,6-3-2025
Kantar Nederland,Randstad,FR - Users (MALT),COMPLETED,30,30,100.0,0,0,14-4-2025,8-5-2025
Kantar Nederland,Randstad,FR - Users (Freelance.com),COMPLETED,48,48,100.0,0,0,14-4-2025,8-5-2025
Kantar Nederland,Randstad,FR - Non-Users,COMPLETED,19,19,100.0,0,0,14-4-2025,8-5-2025
Kantar Nederland,Randstad,USA - Users (Upwork),COMPLETED,52,52,100.0,0,0,14-4-2025,24-4-2025
Kantar Nederland,Randstad,USA - Users (MBO Partners),COMPLETED,80,80,100.0,0,0,14-4-2025,2-5-2025
Kantar Nederland,Randstad,USA - Non-Users ,COMPLETED,27,27,100.0,0,0,14-4-2025,23-4-2025
Kantar Nederland,Centraal Beheer,Positivo's,COMPLETED,52,52,100.0,0,0,24-4-2025,2-5-2025
Kantar Nederland,Centraal Beheer,Negativo's,COMPLETED,52,52,100.0,0,0,24-4-2025,2-5-2025
Kantar Nederland,Ikea Pack ,IKEA Pack - TOYS (master copy) (do not use),READY,0,0,0.0,0,0,7-5-2025,13-5-2025
Kantar Nederland,Ikea Pack ,IKEA Pack - TEXTILE (master copy) (do not use),READY,0,0,0.0,0,0,7-5-2025,13-5-2025
Kantar Nederland,Ikea Pack ,IKEA Pack - BULB (master copy) (do not use),READY,0,0,0.0,0,0,7-5-2025,13-5-2025
Kantar Nederland,Ikea Pack ,IKEA Pack - LIGHTING (master copy) (do not use),READY,0,0,0.0,0,0,7-5-2025,13-5-2025
Kantar Nederland,Ikea Pack ,IKEA Pack - TOYS Germany,COMPLETED,25,25,100.0,0,0,7-5-2025,19-5-2025
Kantar Nederland,Ikea Pack ,IKEA Pack - TEXTILE Germany,COMPLETED,25,25,100.0,0,0,7-5-2025,16-5-2025
Kantar Nederland,Ikea Pack ,IKEA Pack - BULB Germany,COMPLETED,23,23,100.0,0,0,7-5-2025,16-5-2025
Kantar Nederland,Ikea Pack ,IKEA Pack - LIGHTING Germany,COMPLETED,27,27,100.0,0,0,7-5-2025,19-5-2025
Kantar Nederland,Ikea Pack ,IKEA Pack - TOYS US,COMPLETED,26,26,100.0,0,0,7-5-2025,19-5-2025
Kantar Nederland,Ikea Pack ,IKEA Pack - TOYS Thailand,COMPLETED,33,33,100.0,0,0,7-5-2025,16-5-2025
Kantar Nederland,Ikea Pack ,IKEA Pack - TEXTILE US,COMPLETED,27,27,100.0,0,0,7-5-2025,16-5-2025
Kantar Nederland,Ikea Pack ,IKEA Pack - BULB US,COMPLETED,32,32,100.0,0,0,7-5-2025,16-5-2025
Kantar Nederland,Ikea Pack ,IKEA Pack - LIGHTING US,COMPLETED,31,31,100.0,0,0,7-5-2025,16-5-2025
Kantar Nederland,Ikea Pack ,IKEA Pack - TEXTILE Thailand,COMPLETED,33,33,100.0,0,0,7-5-2025,16-5-2025
Kantar Nederland,Ikea Pack ,IKEA Pack - BULB Thailand,COMPLETED,31,31,100.0,0,0,7-5-2025,16-5-2025
Kantar Nederland,Ikea Pack ,IKEA Pack - LIGHTING Thailand,COMPLETED,28,28,100.0,0,0,7-5-2025,16-5-2025
Kantar Nederland,IKEA Teens Bedroom,Ikea US A,PUBLISHED,27,27,100.0,0,0,8-5-2025,3-6-2025
Kantar Nederland,IKEA Teens Bedroom,Ikea US B,PUBLISHED,15,15,100.0,0,0,8-5-2025,7-6-2025
Kantar Nederland,IKEA Teens Bedroom,Ikea Germany A,PUBLISHED,20,20,100.0,0,0,8-5-2025,5-6-2025
Kantar Nederland,IKEA Teens Bedroom,Ikea Germany B,PUBLISHED,23,23,100.0,0,0,8-5-2025,1-6-2025
Kantar Nederland,IKEA Teens Bedroom,Ikea Italy A,PUBLISHED,28,28,100.0,0,0,8-5-2025,31-5-2025
Kantar Nederland,IKEA Teens Bedroom,Ikea Italy B,PUBLISHED,25,25,100.0,0,0,8-5-2025,8-6-2025
Kantar Nederland,IKEA Teens Bedroom,Ikea Poland A,PUBLISHED,21,21,100.0,0,0,8-5-2025,8-6-2025
Kantar Nederland,IKEA Teens Bedroom,Ikea Poland B,PUBLISHED,22,22,100.0,0,0,8-5-2025,6-6-2025
Kantar Nederland,IKEA Teens Bedroom,Ikea Norway A,PUBLISHED,9,9,100.0,0,0,8-5-2025,2-6-2025
Kantar Nederland,IKEA Teens Bedroom,Ikea Norway B,PUBLISHED,10,10,100.0,0,0,8-5-2025,2-6-2025
Kantar Nederland,IKEA Teens Bedroom,Unilever CLT meeting,DRAFT,0,0,0.0,0,0,6-6-2025,6-6-2025
Kantar Nederland,Essent TVC,Essent TVC,COMPLETED,51,51,100.0,0,0,9-5-2025,19-5-2025
Kantar Nederland,Lipton Category Exploration,Lipton Egypt,PUBLISHED,53,53,100.0,0,0,12-5-2025,6-6-2025
Kantar Nederland,Lipton Category Exploration,Lipton Pakistan (Roman Urdu scripted - DON'T USE),READY,0,0,0.0,0,0,12-5-2025,3-6-2025
Kantar Nederland,Lipton Category Exploration,Lipton Pakistan (gender neutral Roman Urdu scripted),PUBLISHED,54,54,100.0,0,0,12-5-2025,6-6-2025
Kantar Nederland,Albert Heijn,AH Wijn,COMPLETED,147,147,100.0,0,0,15-5-2025,20-5-2025
Kantar Nederland,Chocomel New Market (UK),Chocomel UK A,PUBLISHED,27,27,100.0,0,0,28-5-2025,2-6-2025
Kantar Nederland,Chocomel New Market (UK),Chocomel UK B,PUBLISHED,27,27,100.0,0,0,28-5-2025,30-5-2025
